subject,run_index,trial_index_in_run,label_id,label_name,artifact,start_sample,end_sample,sampling_rate
A06T,3,0,4,tongue,0,751,1751,250
A06T,3,1,2,right_hand,0,2754,3754,250
A06T,3,2,2,right_hand,0,4672,5672,250
A06T,3,3,1,left_hand,0,6624,7624,250
A06T,3,4,4,tongue,0,8632,9632,250
A06T,3,5,4,tongue,0,10743,11743,250
A06T,3,6,3,feet,0,12660,13660,250
A06T,3,7,2,right_hand,0,14710,15710,250
A06T,3,8,3,feet,0,16641,17641,250
A06T,3,9,1,left_hand,0,18639,19639,250
A06T,3,10,1,left_hand,0,20545,21545,250
A06T,3,11,2,right_hand,0,22440,23440,250
A06T,3,12,4,tongue,0,24412,25412,250
A06T,3,13,4,tongue,0,26356,27356,250
A06T,3,14,2,right_hand,0,28323,29323,250
A06T,3,15,4,tongue,0,30443,31443,250
A06T,3,16,3,feet,0,32451,33451,250
A06T,3,17,3,feet,0,34517,35517,250
A06T,3,18,3,feet,0,36553,37553,250
A06T,3,19,1,left_hand,0,38619,39619,250
A06T,3,20,3,feet,0,40689,41689,250
A06T,3,21,1,left_hand,0,42769,43769,250
A06T,3,22,3,feet,0,44681,45681,250
A06T,3,23,3,feet,0,46712,47712,250
A06T,3,24,1,left_hand,0,48665,49665,250
A06T,3,25,1,left_hand,0,50626,51626,250
A06T,3,26,2,right_hand,0,52730,53730,250
A06T,3,27,2,right_hand,0,54734,55734,250
A06T,3,28,1,left_hand,0,56709,57709,250
A06T,3,29,3,feet,0,58735,59735,250
A06T,3,30,2,right_hand,0,60806,61806,250
A06T,3,31,4,tongue,0,62913,63913,250
A06T,3,32,4,tongue,0,65005,66005,250
A06T,3,33,1,left_hand,0,67096,68096,250
A06T,3,35,1,left_hand,0,71203,72203,250
A06T,3,36,4,tongue,0,73223,74223,250
A06T,3,39,4,tongue,0,79083,80083,250
A06T,3,40,2,right_hand,0,81164,82164,250
A06T,3,41,3,feet,0,83142,84142,250
A06T,3,42,2,right_hand,0,85132,86132,250
A06T,3,43,3,feet,0,87251,88251,250
A06T,3,44,1,left_hand,0,89157,90157,250
A06T,3,47,1,left_hand,0,95258,96258,250
A06T,4,1,1,left_hand,0,2754,3754,250
A06T,4,3,4,tongue,0,6624,7624,250
A06T,4,4,1,left_hand,0,8632,9632,250
A06T,4,5,4,tongue,0,10743,11743,250
A06T,4,6,4,tongue,0,12660,13660,250
A06T,4,7,2,right_hand,0,14710,15710,250
A06T,4,8,4,tongue,0,16641,17641,250
A06T,4,10,4,tongue,0,20545,21545,250
A06T,4,11,3,feet,0,22440,23440,250
A06T,4,12,1,left_hand,0,24412,25412,250
A06T,4,13,2,right_hand,0,26356,27356,250
A06T,4,14,3,feet,0,28323,29323,250
A06T,4,15,1,left_hand,0,30443,31443,250
A06T,4,16,1,left_hand,0,32451,33451,250
A06T,4,18,4,tongue,0,36553,37553,250
A06T,4,19,2,right_hand,0,38619,39619,250
A06T,4,20,1,left_hand,0,40689,41689,250
A06T,4,21,3,feet,0,42769,43769,250
A06T,4,22,4,tongue,0,44681,45681,250
A06T,4,23,4,tongue,0,46712,47712,250
A06T,4,24,4,tongue,0,48665,49665,250
